index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
272,Planet Claire - Francois Kevorkian Remix,The B-52's,The B-52's,Planet Claire - Francois Kevorkian Remix,Original New Wave,5,2020-07-31,spotify:track:2d0solWkQpdpLT5Re2tmex,-272
390,"Pop Muzik - Nik Launay '79 12""",M,M,"Pop Muzik - Nik Launay '79 12""","New York, London, Paris, Munich",1,1979-01-01,spotify:track:0FBeVAGy58YREuZK2rpRVm,-390
238,Powderfinger - 2016 Remaster,Neil Young,Neil Young,Powderfinger - 2016 Remaster,Rust Never Sleeps,6,1979-06-27,spotify:track:5F1CxsOXX6altKaKlEPuox,-238
169,Pretty Girls,Joe Jackson,Joe Jackson,Pretty Girls,Look Sharp!,10,1979-01-05,spotify:track:409jKN8Chh8tzFiuKO4HpH,-169
160,Prime Time,The Tubes,The Tubes,Prime Time,Remote Control,3,1979-01-01,spotify:track:1ugD8OInLTHKP7umbN3WHt,-160
90,Prove It All Night,Bruce Springsteen,Bruce Springsteen,Prove It All Night,Darkness On the Edge of Town,9,1978-06-02,spotify:track:0Ye9OGxiHF3jylblTCuX7Q,-90
281,"Puff, the Magic Dragon","Peter, Paul and Mary","Peter, Paul and Mary","Puff, the Magic Dragon",Moving,5,1963,spotify:track:3hqsBLMAqJqrhr434Z7WlA,-281
186,Raise A Little Hell,Trooper,Trooper,Raise A Little Hell,Thick As Thieves,10,1978-01-01,spotify:track:1yNz3A4ubmE5IEvpNFkjdc,-186
384,Real Man,Todd Rundgren,Todd Rundgren,Real Man,The Very Best of Todd Rundgren,8,1997-07-29,spotify:track:5NB6p9H8p9ylibEjlTIxSD,-384
97,Redondo Beach,Patti Smith,Patti Smith,Redondo Beach,Horses (Legacy Edition),2,1975,spotify:track:6zCBk93V8M7fPriZj9i4dd,-97
28,Refugee,Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Refugee,Damn The Torpedoes (Deluxe Edition),1,1979-10-19,spotify:track:4mcZYzoGwPRDdhWVlygiHf,-28
283,Rescue Me,Horslips,Horslips,Rescue Me,Treasury - The Very Best of Horslips,24,2009-11-13,spotify:track:77VZsF3DsADs4WuEdHQmdZ,-283
NA,revolt into style,bill nelson,NA,NA,NA,NA,NA,NA,NA
19,Ridin' In My Car - Live,NRBQ,NRBQ,Ridin' In My Car - Live,High Noon: Highlights & Rarities From 50 Years,6,2016-11-11,spotify:track:6r90RAhCMqQ7rLT0XOyGNe,-19
59,Ridin' the Storm Out,REO Speedwagon,REO Speedwagon,Ridin' the Storm Out,Ridin' the Storm Out,1,1973-11-09,spotify:track:0SkmxNE5ydxiEN0hzJbMac,-59
