play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
225,Stay Awhile,Rachel Sweet,https://open.spotify.com/track/6latcWpAyrlTwhs2RHsYls,186040,5,5,spotify:track:6latcWpAyrlTwhs2RHsYls,Fool Around,1978-10-06
226,Forget About You,The Motors,https://open.spotify.com/track/44st0VUm4EZiJZURriALxo,172826,29,3,spotify:track:44st0VUm4EZiJZURriALxo,Approved By The Motors,1978-01-01
227,"Sing It, Shout It",Starz,https://open.spotify.com/track/6SdveBDFBgKRRtgpWwee1W,313506,15,3,spotify:track:6SdveBDFBgKRRtgpWwee1W,Violation (Expanded Edition),1977-05-01
228,Night Moves,Bob Seger,https://open.spotify.com/track/6UBjSnyP1O5W5ndJoO9vUk,324422,71,2,spotify:track:6UBjSnyP1O5W5ndJoO9vUk,Night Moves,1976-10-22
229,Miss America,Styx,https://open.spotify.com/track/2UpMxlf6h57UsAU77G172s,302160,40,5,spotify:track:2UpMxlf6h57UsAU77G172s,The Grand Illusion,1977-01-01
230,Powderfinger - 2016 Remaster,Neil Young,https://open.spotify.com/track/5F1CxsOXX6altKaKlEPuox,330480,50,6,spotify:track:5F1CxsOXX6altKaKlEPuox,Rust Never Sleeps,1979-06-27
231,A.C.D.C.,Sweet,https://open.spotify.com/track/36ezEcDyFfBC4gNVMhitzG,208160,26,4,spotify:track:36ezEcDyFfBC4gNVMhitzG,Desolation Boulevard,1974-11
232,Sugar & Spice,Cryan' Shames,https://open.spotify.com/track/3oc2dcOFq4wCuuHhfCoyTg,148533,26,1,spotify:track:3oc2dcOFq4wCuuHhfCoyTg,Sugar & Spice (A Collection),1992-07-14
233,When I Look In Your Eyes,The Romantics,https://open.spotify.com/track/200etNpz0AiL62lD6xzD8u,180426,29,1,spotify:track:200etNpz0AiL62lD6xzD8u,The Romantics,1980
234,Walking On The Moon,The Police,https://open.spotify.com/track/62uLNJgVZaFiEiKV4LpoYJ,300826,64,6,spotify:track:62uLNJgVZaFiEiKV4LpoYJ,Reggatta De Blanc (Remastered 2003),1979-10-02
235,Guests of the Nation,Horslips,https://open.spotify.com/track/2ata9dLRciV1DojXyKcFSF,212000,9,1,spotify:track:2ata9dLRciV1DojXyKcFSF,"Short Stories, Tall Tales (Bonus Tracks Version)",2011-03-11
236,Highway to Hell,AC/DC,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,208400,83,1,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,1979-07-27
237,Message of Love,Pretenders,https://open.spotify.com/track/08xxP1zt8BaXwWr545EuHG,205573,37,7,spotify:track:08xxP1zt8BaXwWr545EuHG,The Singles,1987
238,Space Invader - 2006 Remaster,Pretenders,https://open.spotify.com/track/5DowQfDc9HNQsEqBsjIEOR,206253,30,5,spotify:track:5DowQfDc9HNQsEqBsjIEOR,Pretenders,1980-01-11
239,Man On The Silver Mountain,Rainbow,https://open.spotify.com/track/52bzQkgk8TznulGvKOPQTK,277226,59,1,spotify:track:52bzQkgk8TznulGvKOPQTK,Ritchie Blackmore's Rainbow,1975-01-01
240,Johnny On The Monorail,The Buggles,https://open.spotify.com/track/6GfK1g6X14jAR5ZTpelBJi,326472,19,8,spotify:track:6GfK1g6X14jAR5ZTpelBJi,The Age Of Plastic,1980-01-10
241,Wheel in the Sky,Journey,https://open.spotify.com/track/215wUTQQUo2PElJFEFoB0d,252240,63,6,spotify:track:215wUTQQUo2PElJFEFoB0d,Infinity,1978
